QntsIndividuos,QntsImgsPorIndividuo,TamMedArquivoGerado,TempMedExecu��o
1,8,33.418,14.35
2,8,66.569,26.27
3,8,99.756,39.49
4,8,132.932,49.97
5,8,166.056,63.05
6,8,199.243,74.35
7,8,232.419,87.04
8,8,265.606,99.39
9,8,298.782,112.04
10,8,331.966,124.37
11,8,365.161,135.95
12,8,398.345,148.69
13,8,431.541,161.95
14,8,464.725,173.43
15,8,497.92,186.99
16,8,531.104,201.03
17,8,564.299,213.58
18,8,597.483,224.31
19,8,630.678,237.29
20,8,663.862,258.27
1,13,54.154,22.03
2,13,108.012,40.33
3,13,161.923,59.64
4,13,215.845,79.67
5,13,269.663,101.02
6,13,323.574,120.86
7,13,377.496,147.35
8,13,431.408,167.94
9,13,485.252,204.63
10,13,539.187,202.32
11,13,593.122,221.96
12,13,647.057,248.72
13,13,700.981,261.65
14,13,754.916,282.45
15,13,808.851,304.24
16,13,862.786,325.55
17,13,916.721,360.29
18,13,970.645,372.32
19,13,1024.58,393.52
20,13,1078.515,406.78
1,15,62.448,23.47
2,15,124.574,47.07
3,15,186.79,69.31
4,15,248.969,91.95
5,15,311.107,116.16
6,15,373.323,138.73
7,15,435.54,163.11
8,15,497.745,190.26
9,15,559.857,209.1
10,15,622.088,231.33
11,15,684.229,258.25
12,15,746.434,279.13
13,15,808.665,302.85
14,15,870.896,325.83
15,15,933.127,364.87
16,15,995.358,375.47
17,15,1057.578,401.11
18,15,1119.809,423.29
19,15,1182.04,443.87
20,15,1244.271,467.77
